station, order, lines, munis, area, units, density
"Roslindale Village",5,"Needham Line","Boston",414.391003416999,4329,10.446655367283
"Route 128",5,"Providence-Stoughton Line","Canton; Dedham; Westwood",286.3546163321,41,0.143179113105165
"Rowley",11,"Newburyport Line","Rowley",201.264501711155,122,0.606167500790022
"Roxbury Crossing",16,"Orange","Boston",164.688492292999,1809,10.9843740434613
"Ruggles",15,"Orange; Franklin Line; Needham Line; Providence-Stoughton Line","Boston",90.2151104364999,1128,12.5034486411672
"Ruggles",3,"Orange; Franklin Line; Needham Line; Providence-Stoughton Line","Boston",90.2151104364999,1128,12.5034486411672
"Saint Marys Street",12,"Green - C","Boston; Brookline",35.3858625932599,795,22.4665994196063
"Saint Paul Street - B Line",16,"Green - B","Boston",36.3758791356,665,18.2813451056688
"Saint Paul Street - C Line",15,"Green - C","Boston",71.4873504962999,1881,26.3123473865122
"Salem",6,"Newburyport Line; Rockport Line","Salem",424.497133376,4557,10.7350548253611
"Savin Hill",14,"Red-Ashmont","Boston",327.202424501999,3360,10.2688725644803
"Science Park",2,"Green - E","Boston; Cambridge",39.1392051779391,1656,42.3105168454828
"Sharon",9,"Providence-Stoughton Line","Sharon",363.109747803999,473,1.30263646971912
"Shawmut",16,"Red-Ashmont","Boston",281.629623879,3877,13.7663074878292
"Shirley",16,"Fitchburg Line","Shirley",473.422382631,682,1.44057405188544
"Silver Hill",9,"Fitchburg Line","Lincoln; Weston",440.643740048999,333,0.755712539937526
"Silver Line Way and beyond on SL2",4,"SL1; SL2; SL3","Boston",159.456707085,178,1.11629045434329
"South Acton",13,"Fitchburg Line","Acton",374.755631370999,450,1.20078248952185
"South Attleboro",12,"Providence-Stoughton Line","Attleboro",266.849958476999,320,1.1991757533947
"South Station",10,"Red-Ashmont; Red-Braintreesl1; SL2; SL3; SL4 Fairmount Line Worcester Line; Franklin Line; Greenbush Linekingston-Plymouth Line; Middleborough-Lakeville; Needham Lineprovidence-Stoughton Line","Boston",135.929513950999,920,6.76821371061217
"South Station",1,"Red-Ashmont; Red-Braintreesl1; SL2; SL3; SL4 Fairmount Line Worcester Line; Franklin Line; Greenbush Linekingston-Plymouth Line; Middleborough-Lakeville; Needham Lineprovidence-Stoughton Line","Boston",135.929513950999,920,6.76821371061217
"South Street",28,"Green - B","Boston; Newton",118.82964467389,1891,15.913537444209
"South Weymouth",5,"Kingston-Plymouth Line","Abington; Weymouth",487.0082645354,1425,2.92602837317234
"Southborough",15,"Worcester Line","Ashland; Hopkinton; Southborough",356.099525464119,374,1.05026817857325
"State",9,"Orange; Blue","Boston",37.5438608179999,567,15.1023359784074
"State",10,"Orange; Blue","Boston",37.5438608179999,567,15.1023359784074
"Stony Brook",18,"Orange","Boston",288.768167983,5227,18.1010255961028
"Stoughton",8,"Providence-Stoughton Line","Stoughton",450.316492014999,2033,4.51460258740043
"Suffolk Downs",4,"Blue","Boston; Revere",132.48267470125,370,2.79281801061425
"Sullivan Square",5,"Orange","Boston; Somerville",352.923550085,2322,6.57932858105036
"Summit Ave-Winchester St",17,"Green - C","Brookline",90.8744109474999,2578,28.3688221262789
"Sutherland Road",25,"Green - B","Boston; Brookline",72.2825098729139,2102,29.0803405096988
"Swampscott",5,"Newburyport Line; Rockport Line","Lynn; Swampscott",461.610171032,3429,7.42834585367551
"Symphony",11,"Green - E","Boston",45.2096212806999,3622,80.1156899216548
"Talbot Avenue",5,"Fairmount Line","Boston",361.566987078,4395,12.1554239105681
"Tappan Street",21,"Green - C","Brookline",41.5123398916,810,19.512270378281
"Tufts Medical Center",12,"Orange; SL4; SL5","Boston",67.0404102499,1950,29.0869341749428
"Tufts Medical Center",3,"Orange; SL4; SL5","Boston",67.0404102499,1950,29.0869341749428
"Union Park Street",6,"SL4; SL5","Boston",134.572689037999,3357,24.9456262187946
"Uphams Corner",3,"Fairmount Line","Boston",402.886745035999,5804,14.4060336347908
"Valley Road",22,"Red - Mattapan Trolley","Boston; Milton",179.5510378792,858,4.77858557730673
"Waban",22,"Green - D","Newton; Wellesley",378.2215723273,790,2.08872274296496
"Wakefield",7,"Haverhill Line","Wakefield",421.13267845,2615,6.20944451431468
"Walpole",12,"Franklin Line","Walpole",440.807516614,801,1.81711964930355
"Waltham",5,"Fitchburg Line","Waltham",442.234773130999,4958,11.2112395976861
"Warren Street",23,"Green - B","Boston",130.271562706999,2248,17.2562603325493
"Washington Square",20,"Green - C","Brookline",68.8292889351999,927,13.4681036858122
"Washington Street",24,"Green - B","Boston; Brookline",108.832886139469,2823,25.9388508394635
"Waverley",4,"Fitchburg Line","Belmont; Waltham; Watertown",392.017368705499,2450,6.24972308775571
"Wedgemere",3,"Lowell Line","Winchester",315.96065819,914,2.89276521082057
"Wellesley Farms",8,"Worcester Line","Newton; Wellesley; Weston",414.069259826929,665,1.60601151671572
"Wellesley Hills",9,"Worcester Line","Wellesley",455.684292027,810,1.7775464596265
"Wellesley Square",10,"Worcester Line","Wellesley",443.324396035999,1220,2.75193517638252
"Wellington",3,"Orange","Everett; Medford; Somerville",254.931790487836,1904,7.46866444689585
"West Concord",12,"Fitchburg Line","Concord",421.168050499999,922,2.1891499103634
"West Gloucester",17,"Rockport Line","Gloucester",216.241508254066,284,1.31334637042174
"West Hingham",6,"Greenbush Line","Hingham",337.895907803999,405,1.19859397715738
"West Medford",2,"Lowell Line","Arlington; Medford; Somerville",414.075229950419,2715,6.5567795502404
"West Natick",12,"Worcester Line","Framingham; Natick",473.509630735099,3138,6.62710913636206
"West Newton",6,"Worcester Line","Newton",466.506378145999,1670,3.57980100215769
"West Roxbury",8,"Needham Line","Boston",344.851746293,2020,5.85758959238016
"Westborough",16,"Worcester Line","Westborough",257.396741109,456,1.77158420124246
"Weymouth Landing-East Braintree",4,"Greenbush Line","Braintree; Weymouth",426.519084394,1837,4.30695850951199
"Whitman",7,"Kingston-Plymouth Line","Whitman",395.313970799999,1227,3.10386196955527
"Wilmington",7,"Lowell Line","Wilmington",416.191865931999,502,1.20617446204972
"Winchester Center",4,"Lowell Line","Winchester",310.918579269,1419,4.56389580621463
"Windsor Gardens",10,"Franklin Line","Norwood; Walpole",384.649961611999,1440,3.74366344394061
"Wollaston",15,"Red-Braintree;","Quincy",465.797825821999,3003,6.44700304193256
"Wonderland",1,"Blue","Revere",196.793640557999,1962,9.96983436272047
"Wood Island",6,"Blue","Boston",277.802582411999,1906,6.86098733658739
"Woodland",23,"Green - D","Newton",238.113704904,858,3.60332052430967
"Worcester",18,"Worcester Line","Worcester",496.335397234,2218,4.46875240484674
"Worcester Square",8,"SL4; SL5","Boston",53.7637212638,1603,29.815644496307
"World Trade Center",3,"SL1; SL2; SL3","Boston",143.673061006,548,3.81421538709414
"Wyoming Hill",3,"Haverhill Line","Melrose",375.738815137,3250,8.64962540219594
"Landsdowne",3,"Worcester Line","Boston",59.8146575589,1418,23.7065638736406
